P100ID01,WST_2007,WST_2009
226403,3.111111111,2.444444444
226602,3.444444444,2.555555556
226802,3,3
227003,3.444444444,2
227102,3.444444444,2.555555556
227701,2.444444444,3.333333333
229002,4.333333333,3.444444444
229102,3.222222222,3.111111111
229402,3.444444444,2.555555556
229902,1.777777778,1.222222222
230102,1.888888889,1.777777778
231903,3.444444444,2.888888889
232002,2.777777778,2.222222222
232303,2.333333333,2.222222222
233401,2.333333333,2.555555556
233602,1.777777778,2.666666667
233702,3.222222222,3.666666667
234002,3.111111111,3
234003,2.222222222,2.444444444
234004,2.222222222,3.222222222
234302,2.333333333,2.333333333
234601,3.666666667,3.444444444
234701,3.222222222,3.555555556
234902,3.555555556,3.888888889
235202,3,3.444444444
235302,3.555555556,3.666666667
235402,3.222222222,3.222222222
235403,2.444444444,2
236102,2.888888889,2.333333333
236302,3,2.222222222
236801,2.222222222,2.888888889
237601,3,2.333333333
237902,3,3.333333333
238003,3.555555556,3.111111111
238302,3.222222222,2.777777778
238801,3,2.111111111
239202,1.777777778,2.444444444
239602,3,3.222222222
240102,3.555555556,2.777777778
240202,2.444444444,2
240503,3,2.444444444
240602,3.222222222,2.777777778
240702,1.666666667,3.111111111
240801,4.777777778,3
242502,2.222222222,2
242902,1.777777778,2.222222222
243102,3,3.111111111
243302,1.333333333,1.666666667
243402,2,2
244602,3,2.333333333
244801,1.777777778,2.111111111
244902,3.111111111,3
245702,2.111111111,2.111111111
245902,2,2.666666667
246301,1,2
246402,3.333333333,3
246502,3,3.111111111
247702,3,2.555555556
247802,2.444444444,2.666666667
247901,2.333333333,3
248102,1.777777778,2.111111111
249102,3,3.444444444
249602,3,3.777777778
250302,2.222222222,2.444444444
250501,3.111111111,3
251402,2,2.111111111
251602,3,3.888888889
252102,3.111111111,4
252302,2.444444444,3
252801,2.111111111,3.222222222
253102,3.111111111,3
253301,2.111111111,2.333333333
253502,2.111111111,3
255002,2,3.777777778
255402,3,2.222222222
256002,3,2.888888889
256003,3,2
256303,2,2
256304,3,3
256402,3.111111111,3.777777778
256703,2.777777778,1.888888889
257002,3.111111111,3.777777778
